nome_municipio,latitude,longitude
Cabixi,-13.474878553376353,-60.63980722013748
Colorado do Oeste,-13.159153106782568,-60.55024441122719
Corumbiara,-12.926629419624062,-61.09164645723336
Pimenta Bueno,-11.89446661983039,-60.8303966675937
Vilhena,-12.095621890538178,-60.248420480522306
Chupinguaia,-12.537328237135995,-60.89838404547186
Bannach,-7.486384401314646,-50.634416339161405
Brejo Grande do Araguaia,-5.735506806840515,-48.43188898399919
Conceição do Araguaia,-8.182491117878028,-49.5127083942615
Floresta do Araguaia,-7.548322817466277,-49.576030541202435
Palestina do Pará,-5.9272670649551085,-48.370184177953256
Pau D'Arco,-7.736975192088141,-50.123622298260464
Redenção,-8.069328964748596,-50.198124056540685
Rio Maria,-7.34063279442704,-49.89514344138503
Santa Maria das Barreiras,-8.633787535812399,-50.31437023912505
Santana do Araguaia,-9.364055728226258,-50.611281715224905
São Domingos do Araguaia,-5.657595271444622,-48.7305944261564
São Geraldo do Araguaia,-6.189251145987275,-48.748222997149334
São João do Araguaia,-5.447322885480912,-48.69679179409614
Sapucaia,-6.838887423605582,-49.56976977554398
Xinguara,-6.917778412704089,-49.63526941268127
Abreulândia,-9.478807702153293,-49.311253146922084
Aguiarnópolis,-6.488578774519731,-47.51337205459204
Ananás,-6.2326785342084765,-48.186638348591046
Angico,-6.435793948882709,-47.91316489019324
Aragominas,-6.945523746672194,-48.63233014766392
Araguacema,-8.939098762799302,-49.505539985809236
Araguaína,-7.331298748626634,-48.58780157697001
Araguanã,-6.790970407028426,-48.524540830993324
Araguatins,-5.6658405031637695,-48.104821796494676
Arapoema,-7.723417227018497,-48.99983005954322
Augustinópolis,-5.497817642692823,-47.92815452293681
Axixá do Tocantins,-5.649398421114453,-47.7661086195837
Babaçulândia,-7.174540673319123,-47.856837156958406
Bandeirantes do Tocantins,-7.903014329410436,-48.67554442659528
Bernardo Sayão,-7.9834752160858535,-48.969116751883
Bom Jesus do Tocantins,-9.01240658079021,-47.879220056583364
Brasilândia do Tocantins,-8.28990228102794,-48.44279292704221
Buriti do Tocantins,-5.337668758622305,-48.136313982056684
Cachoeirinha,-6.090008622852329,-47.84133599817008
Carmolândia,-7.045120554994545,-48.37454302592423
Carrasco Bonito,-5.3371728003066305,-48.00992544909488
Caseara,-9.40166835762582,-49.84857196985468
Colinas do Tocantins,-8.076435621588352,-48.53011530529804
Couto Magalhães,-8.436744561910858,-49.16244724724822
Darcinópolis,-6.763412860814327,-47.76787751124273
Divinópolis do Tocantins,-9.695133727659039,-49.35475400330351
Dois Irmãos do Tocantins,-9.270936776626254,-49.06693250626084
Esperantina,-5.326292134677705,-48.54031920003269
Filadélfia,-7.496680435667137,-47.79374794366989
Formoso do Araguaia,-11.958272717887077,-50.098090648688036
Tabocão,-9.071431543205989,-48.54602483262309
Goianorte,-8.873203967594774,-49.01119427350105
Guaraí,-8.730118690602756,-48.42505082241387
Itaguatins,-5.802727673041107,-47.59507331662749
Itapiratins,-8.316305488315866,-48.033317713228314
Itaporã do Tocantins,-8.45120848183166,-48.752608116449785
Juarina,-8.14080766135638,-49.11033284006385
Lagoa da Confusão,-11.034998826430746,-50.16072229243238
Luzinópolis,-6.206019343483163,-47.830742167755766
Marianópolis do Tocantins,-9.787577535248527,-49.70003950466349
Maurilândia do Tocantins,-6.023178210539017,-47.58994389693198
Miracema do Tocantins,-9.754160546568045,-48.5514678932387
Miranorte,-9.416342736806076,-48.683762255669656
Palmeiras do Tocantins,-6.600231020388121,-47.64269132587604
Muricilândia,-7.003342907348368,-48.78650624377801
Nazaré,-6.330341733305119,-47.78145161216464
Nova Olinda,-7.637885488134989,-48.36074525503995
