CD_MUN;NM_MUN;SIGLA_UF;ano;classe_cobertura;pixels;area_ha;perc_ocupacao
1100031;Cabixi;RO;1985;0;2620;235,80;0,18
1100031;Cabixi;RO;1985;3;1078293;97046,37;73,84
1100031;Cabixi;RO;1985;4;15973;1437,57;1,09
1100031;Cabixi;RO;1985;6;119079;10717,11;8,15
1100031;Cabixi;RO;1985;11;26584;2392,56;1,82
1100031;Cabixi;RO;1985;12;11325;1019,25;0,78
1100031;Cabixi;RO;1985;15;248400;22356,00;17,01
1100031;Cabixi;RO;1985;24;843;75,87;0,06
1100031;Cabixi;RO;1985;25;19;1,71;0,00
1100031;Cabixi;RO;1985;29;842;75,78;0,06
1100031;Cabixi;RO;1985;33;6731;605,79;0,46
1100031;Cabixi;RO;1985;41;81;7,29;0,01
1100064;Colorado do Oeste;RO;1985;3;1018724;91685,16;63,18
1100064;Colorado do Oeste;RO;1985;4;29512;2656,08;1,83
1100064;Colorado do Oeste;RO;1985;6;1057;95,13;0,07
1100064;Colorado do Oeste;RO;1985;11;1073;96,57;0,07
1100064;Colorado do Oeste;RO;1985;12;29142;2622,78;1,81
1100064;Colorado do Oeste;RO;1985;15;570969;51387,21;35,41
1100064;Colorado do Oeste;RO;1985;24;9832;884,88;0,61
1100064;Colorado do Oeste;RO;1985;29;5237;471,33;0,32
1100064;Colorado do Oeste;RO;1985;33;179;16,11;0,01
1100064;Colorado do Oeste;RO;1985;41;39;3,51;0,00
1100072;Corumbiara;RO;1985;3;2896716;260704,44;85,19
1100072;Corumbiara;RO;1985;4;42408;3816,72;1,25
1100072;Corumbiara;RO;1985;6;43864;3947,76;1,29
1100072;Corumbiara;RO;1985;11;16202;1458,18;0,48
1100072;Corumbiara;RO;1985;12;44242;3981,78;1,30
1100072;Corumbiara;RO;1985;15;460853;41476,77;13,55
1100072;Corumbiara;RO;1985;24;65;5,85;0,00
1100072;Corumbiara;RO;1985;29;4311;387,99;0,13
1100072;Corumbiara;RO;1985;33;1262;113,58;0,04
1100072;Corumbiara;RO;1985;41;12;1,08;0,00
1100189;Pimenta Bueno;RO;1985;3;5850643;526557,87;84,37
1100189;Pimenta Bueno;RO;1985;4;379834;34185,06;5,48
1100189;Pimenta Bueno;RO;1985;6;82591;7433,19;1,19
1100189;Pimenta Bueno;RO;1985;11;11548;1039,32;0,17
1100189;Pimenta Bueno;RO;1985;12;19650;1768,50;0,28
1100189;Pimenta Bueno;RO;1985;15;752566;67730,94;10,85
1100189;Pimenta Bueno;RO;1985;24;9689;872,01;0,14
1100189;Pimenta Bueno;RO;1985;25;127;11,43;0,00
1100189;Pimenta Bueno;RO;1985;29;4721;424,89;0,07
1100189;Pimenta Bueno;RO;1985;30;82;7,38;0,00
1100189;Pimenta Bueno;RO;1985;33;17308;1557,72;0,25
1100189;Pimenta Bueno;RO;1985;41;1480;133,20;0,02
1100304;Vilhena;RO;1985;3;11566027;1040942,43;88,98
1100304;Vilhena;RO;1985;4;969318;87238,62;7,46
1100304;Vilhena;RO;1985;6;23589;2123,01;0,18
1100304;Vilhena;RO;1985;11;2581;232,29;0,02
1100304;Vilhena;RO;1985;12;145007;13050,63;1,12
1100304;Vilhena;RO;1985;15;361236;32511,24;2,78
1100304;Vilhena;RO;1985;21;78789;7091,01;0,61
1100304;Vilhena;RO;1985;24;13402;1206,18;0,10
1100304;Vilhena;RO;1985;25;131589;11843,01;1,01
1100304;Vilhena;RO;1985;29;5916;532,44;0,05
1100304;Vilhena;RO;1985;33;8447;760,23;0,06
1100304;Vilhena;RO;1985;39;892;80,28;0,01
1100304;Vilhena;RO;1985;41;69781;6280,29;0,54
1100924;Chupinguaia;RO;1985;3;5129958;461696,22;90,06
1100924;Chupinguaia;RO;1985;4;66297;5966,73;1,16
1100924;Chupinguaia;RO;1985;6;2674;240,66;0,05
